id_area,area,area_solicitante
122,RECONECTA,AREA COMERCIAL PROVINCIAS 2
123,GDH,GERENCIA DE DIVIS CUMPLIM Y ÉTICA CORPOR
124,INGENIERIA,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
125,CLIENTES CONTENTOS,GCIA AREA DE DESARROLLO NUEVOS NEGOCIOS
126,OTROS,GCIA DE DIVISION DE CONTABILIDAD GENERAL
127,TRIBUS,GCIA DE AREA CENTRO DE CONTACTO Y VENTAS
128,GDH,SIN_AREA
129,GDH,"GERENCIA CENTRAL DE TI, OPERA Y DATA"
130,RECONECTA,GERENCIA DE AREA DE RECONECTA
131,RECONECTA,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
132,TRIBUS,TRIBU PRESTAMOS
133,TRIBUS,GERENCIA DE DIVISIÓN PRODUCTOS Y CANALES
134,TRIBUS,DIVISION DE NEOBANCA Y YAPE
135,GDH,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
136,CLIENTES CONTENTOS,GCIA DE AREA CLIENTES CONTENTOS E INNOVA
137,OBRAS POR IMPUESTOS,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
138,SISTEMAS,"GERENCIA CENTRAL DE TI, OPERA Y DATA"
139,CLIENTES CONTENTOS,COE MARKETING Y COMUNICACIONES
140,MARKETING,GCIA DIV CANALES DIGI Y CAPAC. DE TRANSF
141,OTROS,GERENCIA DE ÁREA OPERACIONES Y PROCESOS
142,SERVICIOS DE DISTRIBUCIÓN,GCIA DIVIS DE CLIENTES CORPORAT E INTERN
143,SISTEMAS,GCIA DE DIVISION CANALES DE ATENCION
